역명코드,한글,한자,로마자,비고,좌표
0517,둔내,屯內,Dunnae,고속,"[37.51, 128.2211]"
0518,평창,平昌,Pyeongchang,고속,"[37.56222, 128.43001]"
0519,진부(오대산),珍富(五臺山),Jinbu(Odaesan),고속,"[37.6425, 128.57472]"
0520,월포,月浦,Wolpo,,"[36.203556, 129.36642]"
0521,장사,長沙,Jangsa,,"[36.284138, 129.36914]"
0522,강구,江口,Ganggu,,"[36.352394, 129.37257]"
0523,영덕,盈德,Yeongdeok,,"[36.41164, 129.37766]"
0524,서원주,西原州,Seowonju,고속,"[37.34972, 127.836945]"
0525,원주,原州,Wonju,고속,"[37.31611, 127.92166]"
0526,안동,安東,Andong,고속,"[36.575, 128.675]"
0527,웅천,熊川,Ungcheon,,"[36.23611, 126.60667]"
0528,대야,大野,Daeya,,"[35.944725, 126.82389]"
0529,부발,夫鉢,Bubal,고속[중부내륙],"[37.26041, 127.4903]"
0530,가남,加南,Ganam,고속,"[37.197502, 127.53528]"
0531,감곡장호원,甘谷長湖院,GamgokJanghowon,고속,"[37.12722, 127.634995]"
0532,앙성온천,仰城溫泉,AngseongOncheon,고속,"[37.09222, 127.78833]"
0533,서경주,西慶州,Seogyeongju,,"[35.885002, 129.18001]"
0534,안강,安康,Angang,,"[35.970554, 129.23277]"
0535,북울산,北蔚山,Bugulsan,,"[35.61472, 129.37222]"
0536,판교(경기),板橋,Pangyo,,"[37.394764, 127.11114]"
0537,서화성,西華城,Seohwaseong,,"[37.248055, 126.78694]"
0538,화성시청,華城市廳,HwaseongCityHall,,"[37.190002, 126.82]"
0539,향남,鄕南,Hyangnam,,"[37.123055, 126.913055]"
0540,안중,安仲,Anjung,,"[36.97111, 126.93806]"
0541,인주,仁州,Inju,,"[36.838333, 126.88167]"
0542,합덕,合德,Hapdeok,,"[36.796387, 126.79889]"
0543,내포,內浦,Naepo,미개통,"[36.686947, 126.72222]"
0544,살미,乷味,Salmi,,"[36.902225, 127.96027]"
0545,수안보온천,水安堡溫泉,SuanboOncheon,,"[36.84139, 128.00471]"
0546,연풍,延豊,Yeonpung,,"[36.78639, 128.01805]"
0547,문경,聞慶,Mungyeong,,"[36.719723, 128.11084]"
0548,군위,軍威,Gunwi,,"[36.161114, 128.74583]"
0551,수서(고속선),水西,Suseo,고속[수서평택][SRT],"[37.486946, 127.101944]"
0552,동탄,東灘,Dongtan,고속[수서평택][SRT],"[37.201168, 127.095116]"
0553,평택지제,平澤芝制,PyeongtaekJije,고속[수서평택],"[37.01889, 127.070274]"
0592,부산기지,釜山基地,Busangiji,,
0593,고양기지,高陽基地,Goyanggiji,,"[37.612156, 126.8339]"
0600,근덕,近德,Geundeok,,"[37.31472, 129.27722]"
0601,임원,臨院,Imwon,,"[37.240555, 129.32639]"
0602,옥원,沃原,Ogwon,,"[37.18389, 129.32417]"
0603,흥부,興富,Heungbu,,"[37.096943, 129.36917]"
0604,죽변,竹邊,Jukbyeon,,"[37.049168, 129.40416]"
0605,울진,蔚珍,Uljin,,"[36.982777, 129.395]"
0606,매화,梅花,Maehwa,,"[36.882774, 129.40971]"
0607,기성,箕城,Giseong,,"[36.790276, 129.4475]"
0608,평해,平海,Pyeonghae,,"[36.725277, 129.44556]"
0609,후포,厚浦,Hupo,,"[36.683056, 129.43695]"
0610,고래불,,Goraebul,,"[36.602776, 129.40639]"
0611,영해,寧海,Yeonghae,,"[36.538055, 129.39667]"
0614,세류,細柳,Seryu,,"[37.244167, 127.01417]"
0615,두정,斗井,Dujeong,,"[36.833992, 127.149185]"
0616,서창,瑞倉,Seochang,,"[36.62597, 127.2903]"
0617,대전조차장,大田操車場,Daejeonjochajang,,"[36.37111, 127.4225]"
0620,미전,美田,Mijeon,,"[35.400833, 128.82445]"
0627,북영주,北榮州,Bugyeongju,,"[36.821575, 128.62671]"
0633,채운,彩雲,Chaeun,,"[36.163334, 127.04889]"
0634,북송정,北松汀,Buksongjeong,,"[35.145714, 126.79655]"
0635,상봉,上鳳,Sangbong,고속,"[37.59558, 127.085754]"
0636,비동,肥洞,Bidong,,"[36.95778, 129.07388]"
0665,우암,牛岩,Uam,,"[35.12472, 129.07306]"
0691,장생포,長生浦,Jangsaengpo,,"[35.507057, 129.35408]"
0692,괴동,槐東,Goedong,,"[35.996666, 129.375]"
0693,지행,紙杏,Jihaeng,,"[37.892223, 127.05556]"
0694,갈매,葛梅,Galmae,,"[37.634136, 127.1148]"
0701,주평,舟坪,Jupyeong,,"[36.64306, 128.17056]"
0702,진남,鎭南,Jinnam,,"[36.65528, 128.12805]"
0706,옥구,沃溝,Okgu,,"[35.918335, 126.66778]"
0709,북전주,北全州,Bukjeonju,,"[35.866943, 127.09722]"
0710,흥국사,興國寺,Heungguksa,,"[34.816666, 127.67611]"
0711,적량,積良,Jeongnyang,,"[34.855553, 127.70611]"
0712,초남,草南,Chonam,,"[34.92972, 127.60861]"
0713,황길,黃吉,Hwanggil,,"[34.91889, 127.662224]"
0714,태금,太金,Taegeum,,"[34.930557, 127.71527]"
0715,광양항,光陽港,Gwangyanghang,,"[34.923058, 127.68584]"
0719,청령포,淸泠浦,Cheongnyeongpo,,"[37.17139, 128.45193]"
0720,탄부,炭釜,Tanbu,,"[37.183334, 128.50917]"
0721,조동,鳥洞,Jodong,,"[37.228058, 128.6975]"
0722,묵호항,墨湖港,Mukhohang,,"[37.539852, 129.1121]"
0723,삼화,三和,Samhwa,,"[37.485832, 129.06277]"
0726,온산,溫山,Onsan,,"[35.42133, 129.35103]"
0727,울산항,蔚山港,Ulsanhang,,"[35.510834, 129.37473]"
0729,신선대,神仙臺,Sinseondae,,"[35.108334, 129.08333]"
0730,이문,里門,Imun,,"[37.60361, 127.06833]"
0731,양원,兩元,Yangwon,,"[36.964764, 129.09157]"
0732,금릉,金陵,Geumneung,,"[37.7515, 126.76522]"
0733,운천,雲泉,Uncheon,,"[37.87942, 126.77046]"
0734,망상해수욕장,望祥海水浴場,Mangsang Beach,[28],"[37.593056, 129.0875]"
0735,가천,佳川,Gacheon,,"[35.85361, 128.69305]"
0736,금강,琴江,Geumgang,,"[35.8625, 128.73723]"
0737,중랑,中浪,Jungnang,,"[37.594917, 127.07583]"
0738,백마고지,白馬高地,Baengmagoji,,"[38.2575, 127.166115]"
0751,천마산,天摩山,Cheonmasan,,"[37.657803, 127.287155]"
0801,구일,九一,Guil,,"[37.496113, 126.86972]"
0802,개봉,開峰,Gaebong,,"[37.494583, 126.85875]"
0803,오류동,梧柳洞,Oryu-dong,,"[37.49439, 126.84483]"
0804,온수,溫水,Onsu,,"[37.491943, 126.82305]"
0805,역곡,驛谷,Yeokgok,,"[37.485, 126.81139]"
0806,소사,素砂,Sosa,,"[37.48275, 126.79581]"
0807,부천,富川,Bucheon,,"[37.484055, 126.78253]"
0808,중동,中洞,Jung-dong,,"[37.486668, 126.76422]"
0809,송내,松內,Songnae,,"[37.48764, 126.752914]"
0810,부개,富開,Bugae,,"[37.488472, 126.74058]"
0811,부평,富平,Bupyeong,,"[37.48955, 126.724075]"
0812,백운,白雲,Baegun,,"[37.48353, 126.70761]"
0813,동암,銅岩,Dongam,,"[37.47089, 126.70291]"
0814,간석,間石,Ganseok,,"[37.464695, 126.69378]"
0815,주안,朱安,Juan,,"[37.464973, 126.68063]"
0816,제물포,濟物浦,Jemulpo,,"[37.466785, 126.6568]"
0817,도원,桃源,Dowon,,"[37.468674, 126.64231]"
0818,동인천,東仁川,Dongincheon,,"[37.475155, 126.632866]"
0819,인천,仁川,Incheon,,"[37.475834, 126.61667]"
0820,남영,南營,Namyeong,,"[37.54, 126.97139]"
0821,대방,大方,Daebang,,"[37.5133, 126.92638]"
0822,신길,新吉,Singil,,"[37.51664, 126.91858]"
0823,신도림,新道林,Sindorim,,"[37.509167, 126.891106]"
0824,구로,九老,Guro,,"[37.503056, 126.88194]"
0825,가산디지털단지,加山디지털단지,Gasan Digital Complex,,"[37.4807, 126.88295]"
0826,석수,石水,Seoksu,,"[37.434147, 126.90254]"
0827,관악,冠岳,Gwanak,,"[37.41924, 126.9087]"
0828,명학,鳴鶴,Myeonghak,,"[37.384617, 126.93548]"
0829,금정,衿井,Geumjeong,,"[37.372086, 126.94357]"
0830,성균관대,成均館大,Sungkyunkwan Univ.,,"[37.300285, 126.97109]"
0831,화서,華西,Hwaseo,,"[37.285, 126.988884]"
0832,이촌,二村,Ichon,,"[37.522278, 126.974724]"
0833,서빙고,西氷庫,Seobinggo,,"[37.51957, 126.988556]"
0834,한남,漢南,Hannam,,"[37.52913, 127.008095]"
0835,응봉,鷹峰,Eungbong,,"[37.55083, 127.03518]"
0836,왕십리,往十里,Wangsimni,,"[37.561195, 127.037445]"
0837,회기,回基,Hoegi,,"[37.589165, 127.05723]"
0838,외대앞,外大앞,Hankuk Univ. of Foreign Studies,,"[37.594997, 127.06278]"
0839,신이문,新里門,Sinimun,,"[37.602497, 127.0675]"
0840,석계,石溪,Seokgye,,"[37.61472, 127.06528]"
0841,월계,月溪,Wolgye,,"[37.631664, 127.05806]"
0842,녹천,鹿川,Nokcheon,,"[37.644726, 127.050835]"
0843,창동,倉洞,Chang-dong,,"[37.6525, 127.04694]"
0844,방학,放鶴,Banghak,,"[37.667225, 127.04417]"
0845,도봉,道峰,Dobong,,"[37.67917, 127.04528]"
0846,도봉산,道峰山,Dobongsan,,"[37.689445, 127.04583]"
0847,망월사,望月寺,Mangwolsa,,"[37.710278, 127.0475]"
0848,회룡,回龍,Hoeryong,,"[37.72436, 127.04736]"
0850,산본,山本,Sanbon,,"[37.358055, 126.93305]"
0851,대야미,大夜味,Daeyami,,"[37.32833, 126.91722]"
0852,반월,半月,Banwol,,"[37.31222, 126.90361]"
0853,상록수,常綠樹,Sangnoksu,,"[37.302776, 126.86639]"
0854,한대앞,漢大앞,Hanyang Univ. at Ansan,,"[37.309772, 126.85358]"
0855,중앙,中央,Jungang,,"[37.315956, 126.838646]"
0856,고잔,古棧,Gojan,,"[37.316814, 126.82313]"
0857,초지,草芝,Choji,,"[37.320583, 126.8062]"
0858,안산,安山,Ansan,,"[37.32722, 126.78833]"
0859,범계,,Beomgye,,"[37.389652, 126.95061]"
0860,평촌,坪村,Pyeongchon,,"[37.3943, 126.963844]"
0861,인덕원,仁德院,Indeogwon,,"[37.40164, 126.97667]"
0862,정부과천청사,政府果川廳舍,Government Complex Gwacheon,,"[37.42647, 126.989914]"
0863,과천,果川,Gwacheon,,"[37.433056, 126.99694]"
0864,대공원,大公園,Seoul Grand Park,,"[37.43556, 127.006386]"
0865,경마공원,競馬公園,Seoul Racecourse Park,,"[37.444168, 127.007774]"
0866,선바위,,Seonbawi,,"[37.451862, 127.00214]"
0867,수서(분당선),水西,Suseo,,"[37.486946, 127.101944]"
0868,복정,福井,Bokjeong,,"[37.47033, 127.126625]"
0869,가천대,嘉泉大,Gachon Univ.,,"[37.44778, 127.126945]"
0870,태평,太平,Taepyeong,,"[37.439445, 127.12806]"
0871,모란,牡丹,Moran,,"[37.43139, 127.12972]"
0872,야탑,野塔,Yatap,,"[37.41114, 127.12872]"
0873,서현,書峴,Seohyeon,,"[37.385117, 127.1233]"
0874,수내,藪內,Sunae,,"[37.37855, 127.11427]"
0875,정자,亭子,Jeongja,,"[37.366276, 127.10812]"
0876,미금,美金,Migeum,,"[37.35, 127.10889]"
0877,오리,梧里,Ori,,"[37.339775, 127.10894]"
0878,지축,紙杻,Jichuk,,"[37.648056, 126.91389]"
0879,삼송,三松,Samsong,,"[37.653057, 126.89555]"
0880,원당,元堂,Wondang,,"[37.653336, 126.843056]"
0881,화정,花井,Hwajeong,,"[37.634724, 126.83278]"
0882,백석,白石,Baekseok,,"[37.64306, 126.78778]"
0883,마두,馬頭,Madu,,"[37.651947, 126.777504]"
0884,정발산,鼎鉢山,Jeongbalsan,,"[37.659676, 126.77329]"
0885,주엽,注葉,Juyeop,,"[37.67028, 126.76111]"
0886,대화,大化,Daehwa,,"[37.676113, 126.7475]"
0887,독산,禿山,Doksan,,"[37.465946, 126.889496]"
0888,신길온천,新吉溫泉,SingilOncheon,,"[37.33747, 126.76725]"
0889,정왕,正往,Jeongwang,,"[37.351665, 126.742775]"
0890,오이도,烏耳島,Oido,,"[37.361942, 126.73833]"
0891,도화,道禾,Dohwa,,"[37.466118, 126.66826]"
0892,옥수,玉水,Oksu,,"[37.541695, 127.01728]"
0893,수리산,修理山,Surisan,,"[37.350277, 126.92555]"
0894,남태령,南泰嶺,Namtaeryeong,,"[37.46389, 126.98917]"
0895,선릉,宣陵,Seolleung,,"[37.50445, 127.04899]"
0896,한티,,Hanti,,"[37.496166, 127.052895]"
0897,도곡,道谷,Dogok,,"[37.49083, 127.05539]"
0898,개포동,開浦洞,Gaepodong,,"[37.48897, 127.06603]"
0899,대모산입구,大母山入口,Daemosan,,"[37.491196, 127.07275]"
0900,이매,二梅,Imae,,"[37.395733, 127.12837]"
0913,공덕,孔德,Gongdeok,,"[37.54386, 126.95103]"
0914,홍대입구,弘大入口,Hongik Univ.,,"[37.556667, 126.92361]"
0915,디엠씨,,Digital Media City,,"[37.576664, 126.90139]"
0916,김포공항,金浦空港,Gimpo Int'l Airport,,"[37.5625, 126.800835]"
0917,계양,桂陽,Gyeyang,,"[37.57139, 126.73638]"
0918,검암,黔岩,Geomam,고속,"[37.569164, 126.67361]"
0919,운서,雲西,Unseo,,"[37.49278, 126.49361]"
0920,공항화물청사,空港貨物廳舍,Inc Int'l Airport Cargo Terminal,,"[37.45889, 126.477776]"
0921,인천공항T1,仁川空港1터미널,Incheon Int'l Airport Terminal 1,고속,
0923,인천공항T2,仁川空港2터미널,Incheon Int'l Airport Terminal 2,고속,"[37.46766, 126.43415]"
0924,송도국제교,松島國際橋,Songdogukjegyo,[32],
0931,울릉도,鬱陵島,Ulleungdo,[33],
0998,신경주분기,新慶州分岐,Singyeongju Junction,[34],
